method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_dqn_r0,129,0,87,-11.4220238762856,21.4220238762856,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,130,0,88,-0.9892691038906776,20.989269103890678,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,131,0,89,-3.3547427882044403,23.35474278820444,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,132,0,90,2.3694029519777793,17.63059704802222,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,133,0,91,-14.71728006696745,14.71728006696745,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0,134,0,92,-5.266600017067091,25.26660001706709,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,135,0,93,8.416663009145001,11.583336990854999,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,136,0,94,-6.083810373150033,16.083810373150033,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,137,0,95,-11.093293576645774,21.093293576645774,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0,138,0,96,-5.8825564555615095,15.88255645556151,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0,139,0,97,-5.919498939443956,15.919498939443956,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,140,0,98,-6.555358087055875,16.555358087055875,15,15,1,0,9.0,5.0,1.0
gnn_dqn_r0,141,0,99,-6.827628345502092,16.82762834550209,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.15,42,0,0,-13.720578634043953,23.720578634043953,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,43,0,1,6.444105574178423,13.555894425821577,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,44,0,2,0.37581957038182523,19.624180429618175,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,45,0,3,5.908134717523062,14.091865282476938,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,46,0,4,-10.41467712059472,20.414677120594718,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,47,0,5,2.610248088014778,17.389751911985222,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,48,0,6,-3.7171916475033377,13.717191647503338,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,49,0,7,-0.07761231799595691,20.077612317995957,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,50,0,8,5.383038710187572,14.616961289812428,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,51,0,9,5.528266601220054,14.471733398779946,15,15,1,0,4.0,11.0,0.0
gnn_dqn_r0.15,52,0,10,-12.19634910137728,22.19634910137728,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0.15,53,0,11,-1.9141998729886538,21.914199872988654,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.15,54,0,12,-6.265187155354525,26.265187155354525,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,55,0,13,1.8838739863377327,18.116126013662267,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,56,0,14,0.19258208762407492,19.807417912375925,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,57,0,15,3.102608300450804,16.897391699549196,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,58,0,16,-8.364273978947868,18.364273978947868,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,59,0,17,0.2184073042319099,19.78159269576809,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,60,0,18,-23.102285515312218,23.102285515312218,15,15,1,0,3.0,10.0,2.0
gnn_dqn_r0.15,61,0,19,-18.51018458067018,18.51018458067018,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0.15,62,0,20,-6.436180091427435,16.436180091427435,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0.15,63,0,21,3.513107700323836,16.486892299676164,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,64,0,22,5.815590423930949,14.18440957606905,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,65,0,23,6.688110018059538,13.311889981940462,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,66,0,24,5.06744314954846,14.93255685045154,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,67,0,25,-14.36083320683013,24.36083320683013,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0.15,68,0,26,0.6560240428785633,19.343975957121437,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,69,0,27,-8.363443162967954,18.363443162967954,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.15,70,0,28,3.1150989888554186,16.88490101114458,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,71,0,29,2.284689609239944,17.715310390760056,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,72,0,30,-7.584130023485724,17.584130023485724,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.15,73,0,31,2.0282050617833844,17.971794938216615,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,74,0,32,-4.599782838907654,24.599782838907654,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,75,0,33,-11.571070949037846,21.571070949037846,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.15,76,0,34,-15.927518756367757,15.927518756367757,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0.15,77,0,35,-4.795279823897721,14.79527982389772,15,15,1,0,5.0,9.0,1.0
gnn_dqn_r0.15,78,0,36,7.094958769904803,12.905041230095197,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.15,79,0,37,-6.337998796670593,16.337998796670593,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.15,80,0,38,8.296780775498132,11.703219224501868,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.15,81,0,39,6.390859048962497,13.609140951037503,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,82,0,40,-3.9558451077267875,13.955845107726788,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.15,83,0,41,3.3253379416134905,16.67466205838651,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,84,0,42,3.808574580046713,16.191425419953287,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.15,85,0,43,-7.246198982037399,17.2461989820374,15,15,1,0,9.0,5.0,1.0
gnn_dqn_r0.15,86,0,44,3.847738578923689,16.15226142107631,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.15,87,0,45,0.5920493962406645,19.407950603759335,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,88,0,46,3.4734981484691723,16.526501851530828,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,89,0,47,-9.456580589757223,19.456580589757223,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0.15,90,0,48,-11.105518540602649,21.10551854060265,15,15,1,0,10.0,4.0,1.0
gnn_dqn_r0.15,91,0,49,-2.14149584612081,22.14149584612081,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,92,0,50,-19.082524076764507,19.082524076764507,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0.15,93,0,51,2.360447649687364,17.639552350312634,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,94,0,52,8.080897332955962,11.919102667044038,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,95,0,53,8.052808017152982,11.947191982847018,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,96,0,54,-8.823112862083804,18.823112862083804,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,97,0,55,4.0667222433874635,15.933277756612537,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,98,0,56,4.677944381950949,15.32205561804905,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,99,0,57,2.385142223332501,17.6148577766675,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.15,100,0,58,2.1090681817340453,17.890931818265955,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,101,0,59,6.9949294043058945,13.005070595694106,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.15,102,0,60,2.9830326950796433,17.016967304920357,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,103,0,61,-15.48150494276636,15.48150494276636,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0.15,104,0,62,1.5415943098374782,18.45840569016252,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,105,0,63,7.878491658417428,12.121508341582572,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,106,0,64,-12.421412708245533,12.421412708245532,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0.15,107,0,65,0.9547027002537227,19.045297299746277,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,108,0,66,1.8426861246840005,18.157313875316,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,109,0,67,-15.53136621465885,15.53136621465885,15,15,1,0,4.0,9.0,2.0
gnn_dqn_r0.15,110,0,68,9.568400073930619,10.431599926069381,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,111,0,69,1.6926075364489943,18.307392463551004,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0.15,112,0,70,10.363631820034591,9.636368179965409,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,113,0,71,-2.6932590243978645,22.693259024397864,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0.15,114,0,72,-2.763693573532585,22.763693573532585,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,115,0,73,1.6731505454805244,18.326849454519476,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,116,0,74,1.0335179854234227,18.966482014576577,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,117,0,75,6.90630547042093,13.09369452957907,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,118,0,76,2.468470211821156,17.531529788178844,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,119,0,77,0.631573385425451,19.36842661457455,15,15,1,0,11.0,4.0,0.0
gnn_dqn_r0.15,120,0,78,5.7357246027446,14.2642753972554,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,121,0,79,-3.144932048452553,13.144932048452553,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0.15,122,0,80,1.9256725852675238,18.074327414732476,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,123,0,81,-8.020701110010343,18.020701110010343,15,15,1,0,9.0,5.0,1.0
gnn_dqn_r0.15,124,0,82,-3.7212361527545816,23.72123615275458,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,125,0,83,0.9637311629541703,19.03626883704583,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,126,0,84,-7.10262317313509,27.10262317313509,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0.15,127,0,85,-0.5020371928489542,20.502037192848952,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,128,0,86,0.1503851527692035,19.849614847230796,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,129,0,87,-10.440435855022422,20.44043585502242,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0.15,130,0,88,-0.9892691038906776,20.989269103890678,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0.15,131,0,89,-3.3547427882044403,23.35474278820444,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,132,0,90,2.4897967668895298,17.51020323311047,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0.15,133,0,91,-14.71728006696745,14.71728006696745,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0.15,134,0,92,-4.094669905314063,24.094669905314063,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,135,0,93,8.314683524763797,11.685316475236203,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0.15,136,0,94,-6.083810373150033,16.083810373150033,15,15,1,0,7.0,7.0,1.0
