method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
greedy,77,0,35,-64.71212618228438,14.712126182284374,15,15,1,0,5.0,3.0,7.0
greedy,78,0,36,-80.06986923928012,10.069869239280116,15,15,1,0,4.0,2.0,9.0
greedy,79,0,37,-32.51144645139013,12.511446451390126,15,15,1,0,7.0,4.0,4.0
greedy,80,0,38,-29.494599363360038,9.494599363360036,15,15,1,0,6.0,5.0,4.0
greedy,81,0,39,-90.57144580988205,10.57144580988205,15,15,1,0,2.0,3.0,10.0
greedy,82,0,40,-42.738060112235715,12.738060112235715,15,15,1,0,6.0,4.0,5.0
greedy,83,0,41,-71.02932063360603,11.029320633606034,15,15,1,0,4.0,3.0,8.0
greedy,84,0,42,-43.0408146000936,13.040814600093604,15,15,1,0,6.0,4.0,5.0
greedy,85,0,43,-33.513158582354066,13.513158582354063,15,15,1,0,5.0,6.0,4.0
greedy,86,0,44,-63.10400463691852,13.10400463691852,15,15,1,0,2.0,6.0,7.0
greedy,87,0,45,-41.56552450318167,11.565524503181669,15,15,1,0,6.0,4.0,5.0
greedy,88,0,46,-61.83089264682893,11.830892646828927,15,15,1,0,5.0,3.0,7.0
greedy,89,0,47,-81.6450456539146,11.645045653914597,15,15,1,0,4.0,2.0,9.0
greedy,90,0,48,-57.072498287860775,17.072498287860782,15,15,1,0,6.0,3.0,6.0
greedy,91,0,49,-87.2088306628324,17.208830662832398,15,15,1,0,4.0,2.0,9.0
greedy,92,0,50,-32.53328552407677,12.533285524076764,15,15,1,0,6.0,5.0,4.0
greedy,93,0,51,-51.97435301704311,11.974353017043109,15,15,1,0,6.0,3.0,6.0
greedy,94,0,52,-51.406369289924996,11.406369289925001,15,15,1,0,6.0,3.0,6.0
greedy,95,0,53,-38.81048467765972,8.810484677659726,15,15,1,0,8.0,2.0,5.0
greedy,96,0,54,-65.38274377391765,15.382743773917653,15,15,1,0,5.0,3.0,7.0
greedy,97,0,55,-64.79147142795057,14.791471427950569,15,15,1,0,6.0,2.0,7.0
greedy,98,0,56,-52.07244621731305,12.072446217313052,15,15,1,0,7.0,2.0,6.0
greedy,99,0,57,-92.47619127506162,12.47619127506162,15,15,1,0,4.0,1.0,10.0
greedy,100,0,58,-32.073747756849876,12.073747756849876,15,15,1,0,6.0,5.0,4.0
